Symbol,Metric,DelivRatio,PrevDayRatio,PrevLastHrRatio,10:40
360ONE,CASH VOL,1.278,1.249,0.259,0.172
360ONE,FUT VOL,,,,
360ONE,FUT OI,,1.015,,1.015
360ONE,CALL VOL,,,,652
360ONE,CALL OI,,,,2284
360ONE,PUT VOL,,,,225
360ONE,PUT OI,,,,2899
ABB,CASH VOL,0.863,0.98,0.293,0.09
ABB,FUT VOL,,,,
ABB,FUT OI,,1.007,,1.007
ABB,CALL VOL,,,,686
ABB,CALL OI,,,,3431
ABB,PUT VOL,,,,295
ABB,PUT OI,,,,5310
ABCAPITAL,CASH VOL,1.045,1.139,0.232,0.136
ABCAPITAL,FUT VOL,,,,
ABCAPITAL,FUT OI,,1.001,,1.001
ABCAPITAL,CALL VOL,,,,410
ABCAPITAL,CALL OI,,,,2331
ABCAPITAL,PUT VOL,,,,370
ABCAPITAL,PUT OI,,,,3540
ADANIENSOL,CASH VOL,0.973,0.715,0.301,0.353
ADANIENSOL,FUT VOL,,,,
ADANIENSOL,FUT OI,,0.998,,0.998
ADANIENSOL,CALL VOL,,,,3566
ADANIENSOL,CALL OI,,,,4598
ADANIENSOL,PUT VOL,,,,1518
ADANIENSOL,PUT OI,,,,2775
ADANIENT,CASH VOL,0.789,1.3,0.187,0.331
ADANIENT,FUT VOL,,,,
ADANIENT,FUT OI,,1.009,,1.009
ADANIENT,CALL VOL,,,,9191
ADANIENT,CALL OI,,,,18580
ADANIENT,PUT VOL,,,,5538
ADANIENT,PUT OI,,,,11175
ADANIGREEN,CASH VOL,1.019,0.678,0.24,0.335
ADANIGREEN,FUT VOL,,,,
ADANIGREEN,FUT OI,,0.998,,0.998
ADANIGREEN,CALL VOL,,,,2480
ADANIGREEN,CALL OI,,,,6150
ADANIGREEN,PUT VOL,,,,1472
ADANIGREEN,PUT OI,,,,4487
ADANIPORTS,CASH VOL,1.173,0.38,0.236,0.285
ADANIPORTS,FUT VOL,,,,
ADANIPORTS,FUT OI,,1.005,,1.005
ADANIPORTS,CALL VOL,,,,4128
ADANIPORTS,CALL OI,,,,11322
ADANIPORTS,PUT VOL,,,,2619
ADANIPORTS,PUT OI,,,,9706
ADANIPOWER,CASH VOL,1.12,0.532,0.287,0.448
ADANIPOWER,FUT VOL,,,,
ADANIPOWER,FUT OI,,1.011,,1.011
ADANIPOWER,CALL VOL,,,,3524
ADANIPOWER,CALL OI,,,,13476
ADANIPOWER,PUT VOL,,,,2165
ADANIPOWER,PUT OI,,,,10488
ALKEM,CASH VOL,0.826,0.659,0.37,0.302
ALKEM,FUT VOL,,,,
ALKEM,FUT OI,,1.005,,1.005
ALKEM,CALL VOL,,,,194
ALKEM,CALL OI,,,,1101
ALKEM,PUT VOL,,,,285
ALKEM,PUT OI,,,,1580
AMBER,CASH VOL,1.014,1.338,0.307,0.325
AMBER,FUT VOL,,,,
AMBER,FUT OI,,1.01,,1.01
AMBER,CALL VOL,,,,1508
AMBER,CALL OI,,,,5278
AMBER,PUT VOL,,,,620
AMBER,PUT OI,,,,4248
AMBUJACEM,CASH VOL,0.636,0.879,0.22,0.204
AMBUJACEM,FUT VOL,,,,
AMBUJACEM,FUT OI,,1.001,,1.001
AMBUJACEM,CALL VOL,,,,993
AMBUJACEM,CALL OI,,,,6213
AMBUJACEM,PUT VOL,,,,1143
AMBUJACEM,PUT OI,,,,4488
ANGELONE,CASH VOL,0.456,6.185,0.077,0.115
ANGELONE,FUT VOL,,,,
ANGELONE,FUT OI,,0.997,,0.997
ANGELONE,CALL VOL,,,,10381
ANGELONE,CALL OI,,,,7066
ANGELONE,PUT VOL,,,,4763
ANGELONE,PUT OI,,,,5002
APLAPOLLO,CASH VOL,0.885,0.69,0.46,0.112
APLAPOLLO,FUT VOL,,,,
APLAPOLLO,FUT OI,,1.01,,1.01
APLAPOLLO,CALL VOL,,,,1553
APLAPOLLO,CALL OI,,,,4282
APLAPOLLO,PUT VOL,,,,954
APLAPOLLO,PUT OI,,,,2139
APOLLOHOSP,CASH VOL,1.247,1.194,0.289,0.146
APOLLOHOSP,FUT VOL,,,,
APOLLOHOSP,FUT OI,,1.005,,1.005
APOLLOHOSP,CALL VOL,,,,3922
APOLLOHOSP,CALL OI,,,,4806
APOLLOHOSP,PUT VOL,,,,1454
APOLLOHOSP,PUT OI,,,,5888
ASHOKLEY,CASH VOL,1.094,1.481,0.164,0.165
ASHOKLEY,FUT VOL,,,,
ASHOKLEY,FUT OI,,1.008,,1.008
ASHOKLEY,CALL VOL,,,,1993
ASHOKLEY,CALL OI,,,,9033
ASHOKLEY,PUT VOL,,,,1193
ASHOKLEY,PUT OI,,,,8101
ASIANPAINT,CASH VOL,1.039,0.677,0.361,0.151
ASIANPAINT,FUT VOL,,,,
ASIANPAINT,FUT OI,,1.009,,1.009
ASIANPAINT,CALL VOL,,,,1048
ASIANPAINT,CALL OI,,,,2595
ASIANPAINT,PUT VOL,,,,1709
ASIANPAINT,PUT OI,,,,7741
ASTRAL,CASH VOL,1.061,1.028,0.207,0.336
ASTRAL,FUT VOL,,,,
ASTRAL,FUT OI,,1.004,,1.004
ASTRAL,CALL VOL,,,,1177
ASTRAL,CALL OI,,,,2667
ASTRAL,PUT VOL,,,,771
ASTRAL,PUT OI,,,,2398
AUBANK,CASH VOL,0.976,1.19,0.337,0.379
AUBANK,FUT VOL,,,,
AUBANK,FUT OI,,1.011,,1.011
AUBANK,CALL VOL,,,,4299
AUBANK,CALL OI,,,,4755
AUBANK,PUT VOL,,,,2557
AUBANK,PUT OI,,,,4722
AUROPHARMA,CASH VOL,0.77,0.624,0.355,0.192
AUROPHARMA,FUT VOL,,,,
AUROPHARMA,FUT OI,,1.008,,1.008
AUROPHARMA,CALL VOL,,,,1340
AUROPHARMA,CALL OI,,,,7976
AUROPHARMA,PUT VOL,,,,996
AUROPHARMA,PUT OI,,,,4278
AXISBANK,CASH VOL,1.331,1.152,0.367,0.098
AXISBANK,FUT VOL,,,,
AXISBANK,FUT OI,,1.001,,1.001
AXISBANK,CALL VOL,,,,5072
AXISBANK,CALL OI,,,,17573
AXISBANK,PUT VOL,,,,4610
AXISBANK,PUT OI,,,,16120
BAJAJ-AUTO,CASH VOL,1.135,0.507,0.324,0.227
BAJAJ-AUTO,FUT VOL,,,,
BAJAJ-AUTO,FUT OI,,1.014,,1.014
BAJAJ-AUTO,CALL VOL,,,,5784
BAJAJ-AUTO,CALL OI,,,,6897
BAJAJ-AUTO,PUT VOL,,,,7077
BAJAJ-AUTO,PUT OI,,,,8848
BAJAJFINSV,CASH VOL,1.008,0.995,0.282,0.085
BAJAJFINSV,FUT VOL,,,,
BAJAJFINSV,FUT OI,,1.003,,1.003
BAJAJFINSV,CALL VOL,,,,902
BAJAJFINSV,CALL OI,,,,8762
BAJAJFINSV,PUT VOL,,,,553
BAJAJFINSV,PUT OI,,,,6944
BAJAJHLDNG,CASH VOL,0.783,0.324,0.283,0.474
BAJAJHLDNG,FUT VOL,,,,
BAJAJHLDNG,FUT OI,,1.014,,1.014
BAJAJHLDNG,CALL VOL,,,,3
BAJAJHLDNG,CALL OI,,,,144
BAJAJHLDNG,PUT VOL,,,,39
BAJAJHLDNG,PUT OI,,,,384
BAJFINANCE,CASH VOL,1.087,0.898,0.185,0.084
BAJFINANCE,FUT VOL,,,,
BAJFINANCE,FUT OI,,1.005,,1.005
BAJFINANCE,CALL VOL,,,,4249
BAJFINANCE,CALL OI,,,,11077
BAJFINANCE,PUT VOL,,,,1862
BAJFINANCE,PUT OI,,,,10727
BANDHANBNK,CASH VOL,2.317,0.484,0.353,0.397
BANDHANBNK,FUT VOL,,,,
BANDHANBNK,FUT OI,,1.014,,1.014
BANDHANBNK,CALL VOL,,,,2292
BANDHANBNK,CALL OI,,,,6178
BANDHANBNK,PUT VOL,,,,1133
BANDHANBNK,PUT OI,,,,4797
BANKBARODA,CASH VOL,1.287,1.632,0.289,0.185
BANKBARODA,FUT VOL,,,,
BANKBARODA,FUT OI,,1.014,,1.014
BANKBARODA,CALL VOL,,,,3093
BANKBARODA,CALL OI,,,,10387
BANKBARODA,PUT VOL,,,,1904
BANKBARODA,PUT OI,,,,9744
BANKINDIA,CASH VOL,1.083,0.357,0.3,0.499
BANKINDIA,FUT VOL,,,,
BANKINDIA,FUT OI,,1.006,,1.006
BANKINDIA,CALL VOL,,,,782
