Symbol,Metric,DelivRatio,PrevDayRatio,PrevLastHrRatio,09:20,09:30,09:50,10:00,10:20,10:30,10:50,11:00,11:20,11:40,12:00,12:20
360ONE,CASH VOL,0.974,1.249,0.257,0.045,0.116,0.284,0.35,0.396,0.445,0.502,0.658,0.71,0.783,0.82,0.87
360ONE,FUT VOL,,,,,,,,,,,,,,,
360ONE,FUT OI,,1.007,,1.007,1.011,1.017,1.013,1.011,1.012,1.015,1.016,1.015,1.016,1.017,1.019
360ONE,CALL VOL,,,,206,450,655,759,829,908,1041,840,957,1013,1029,1062
360ONE,CALL OI,,1.004,,1.004,1.015,1.019,1.027,1.023,1.031,1.057,1.142,1.12,1.12,1.123,1.13
360ONE,PUT VOL,,,,236,653,950,1092,1163,1240,1470,1748,1946,2060,2098,2157
360ONE,PUT OI,,1.031,,1.031,1.045,1.058,1.056,1.05,1.048,1.056,1.061,1.073,1.063,1.066,1.066
ABB,CASH VOL,0.868,0.98,0.208,0.044,0.094,0.129,0.158,0.18,0.237,0.296,0.331,0.352,0.409,0.604,0.728
ABB,FUT VOL,,,,,,,,,,,,,,,
ABB,FUT OI,,1.002,,1.002,1.005,1.005,1.004,1.003,0.999,0.997,0.997,0.999,1.0,1.001,1.002
ABB,CALL VOL,,,,194,379,541,686,816,1240,1800,2002,2105,2322,2549,2722
ABB,CALL OI,,1.007,,1.007,1.022,1.031,1.025,1.034,1.014,1.002,0.999,1.009,1.005,1.01,1.013
ABB,PUT VOL,,,,51,131,275,356,410,621,819,956,1001,1095,1179,1217
ABB,PUT OI,,1.002,,1.002,1.004,0.998,0.998,0.999,1.006,1.005,1.004,1.004,1.003,1.005,1.004
ABCAPITAL,CASH VOL,1.184,1.139,0.405,0.015,0.036,0.127,0.218,0.31,0.356,0.41,0.481,0.534,0.589,0.635,0.785
ABCAPITAL,FUT VOL,,,,,,,,,,,,,,,
ABCAPITAL,FUT OI,,1.002,,1.002,1.004,1.009,1.012,1.013,1.013,1.015,1.017,1.017,1.017,1.017,1.018
ABCAPITAL,CALL VOL,,,,111,211,469,652,1182,988,1091,1137,1532,1592,1245,1706
ABCAPITAL,CALL OI,,1.006,,1.006,1.019,1.04,1.063,1.057,1.06,1.063,1.069,1.056,1.06,1.06,1.052
ABCAPITAL,PUT VOL,,,,60,182,517,729,982,1111,1198,1258,1254,1314,1404,1381
ABCAPITAL,PUT OI,,1.001,,1.001,1.006,1.007,1.01,1.01,1.012,1.012,1.016,1.016,1.014,1.015,1.012
ADANIENSOL,CASH VOL,1.101,0.968,0.283,0.034,0.085,0.107,0.196,0.239,0.271,0.292,0.344,0.441,0.457,0.48,0.492
ADANIENSOL,FUT VOL,,,,,,,,,,,,,,,
ADANIENSOL,FUT OI,,1.002,,1.002,1.002,1.002,1.003,1.003,1.002,1.002,1.002,0.998,0.998,0.997,0.997
ADANIENSOL,CALL VOL,,,,314,699,905,1697,1981,2197,2435,2593,3672,3814,3943,3580
ADANIENSOL,CALL OI,,1.011,,1.011,1.017,1.015,1.023,1.022,1.019,1.009,1.008,0.972,0.968,0.967,0.972
ADANIENSOL,PUT VOL,,,,148,279,326,521,633,716,789,827,1009,1069,1105,1174
ADANIENSOL,PUT OI,,0.998,,0.998,0.999,0.998,1.004,1.001,1.004,1.003,1.001,1.003,1.001,0.999,1.001
ADANIENT,CASH VOL,1.378,0.925,0.266,0.041,0.098,0.138,0.159,0.217,0.25,0.294,0.318,0.416,0.467,0.498,0.52
ADANIENT,FUT VOL,,,,,,,,,,,,,,,
ADANIENT,FUT OI,,1.002,,1.002,1.002,1.003,1.003,1.0,1.0,1.003,1.004,1.004,1.002,1.002,1.002
ADANIENT,CALL VOL,,,,854,2584,2970,3240,4294,6476,7390,7677,9864,10962,11388,11751
ADANIENT,CALL OI,,1.006,,1.006,1.004,1.004,1.005,0.999,1.007,1.02,1.02,1.019,1.008,1.009,1.009
ADANIENT,PUT VOL,,,,567,1775,2063,2267,3173,4047,4377,4911,5812,6273,6550,6777
ADANIENT,PUT OI,,1.004,,1.004,1.014,1.019,1.017,1.001,0.995,0.998,1.011,1.013,1.014,1.01,1.009
