Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,11:00,11:10,11:20,11:40,12:00,12:20,12:30,12:50,13:00,13:20,13:30,13:50,14:00,14:20
360ONE,PRICE,1110.0,1136.9,,,,,,,,1101.0,1097.0,1098.0,1101.0,1100.0,1102.0,1101.0,1101.0,1100.0,1101.0
360ONE,CASH VOL,1123388,407077,209500,57.58,50.18,129079,146033,157115,214199,237024,273213,288954,340070,352798,379380,418265,467619,508849,538341
360ONE,F&O VOL,7567,4065,,,,1050,1231,1407,1747,1991,2121,2359,2500,2553,2610,2673,2767,2890,2924
360ONE,F&O OI,15428,15032,,,,15561,15565,15571,15652,15692,15719,15764,15785,15782,15790,15792,15825,15833,15825
360ONE,CALL VOL,2631,1728,,,,444,515,560,642,716,751,849,909,926,967,994,1008,1036,1044
360ONE,CALL OI,2181,2070,,,,2273,2278,2280,2285,2292,2305,2300,2311,2306,2309,2302,2308,2309,2309
360ONE,PUT VOL,2864,721,,,,270,298,334,391,427,453,513,543,548,555,561,570,627,639
360ONE,PUT OI,3045,2930,,,,3047,3042,3049,3056,3048,3045,3045,3049,3048,3046,3047,3047,3035,3032
ABB,PRICE,7387.0,7434.0,,,,,,,,7385.0,7372.0,7373.0,7386.0,7401.0,7425.0,7431.0,7431.0,7430.0,7428.0
ABB,CASH VOL,167057,111152,30831,51.93,47.61,71405,90888,93771,135926,143394,148966,164041,179995,205183,237772,242587,247205,250063,252654
ABB,F&O VOL,7857,7214,,,,4788,5266,5388,5910,6040,6408,6693,6990,7518,8408,8859,9189,9280,9492
ABB,F&O OI,25946,25762,,,,26455,26549,26520,26591,26579,26629,26738,26768,26839,26892,26841,26862,26856,26819
ABB,CALL VOL,3836,3272,,,,2501,2813,2900,3116,3200,3361,3508,3677,3934,4295,4500,4669,4695,4760
ABB,CALL OI,3956,3827,,,,4344,4394,4368,4355,4350,4403,4424,4428,4424,4386,4353,4338,4336,4327
ABB,PUT VOL,1695,1885,,,,1204,1299,1329,1449,1472,1563,1611,1666,1789,2023,2166,2222,2253,2294
ABB,PUT OI,5302,5220,,,,5416,5428,5425,5441,5437,5433,5451,5458,5485,5515,5537,5553,5545,5535
ABCAPITAL,PRICE,396.95,403.25,,,,,,,,400.0,400.0,400.0,401.0,401.0,400.0,401.0,401.0,401.0,401.0
