Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,Open,dTC,dBC,wTC,wBC,09:20,09:30,09:50,10:00,10:20,10:30,10:50,11:00,11:10,11:20,11:40,12:00,12:20,12:30,12:50,13:00,13:20,13:30,13:50,14:00,14:20,14:30,14:50
360ONE,PRICE,1087.4,1110.0,,,,1087.0,1098.3,1091.03,1163.35,1145.78,1086.0,1091.0,1091.0,1091.0,1091.0,1091.0,1092.0,1088.0,1088.0,1086.0,1086.0,1088.0,1091.0,1097.0,1097.0,1096.0,1097.0,1100.0,1103.0,1102.0,1100.0,1100.0,1100.0
360ONE,VWAP,,,,,,,,,,,1087.99,1089.78,1091.04,1091.36,1091.25,1091.25,1091.33,1090.94,1090.7,1090.5,1090.24,1090.05,1090.67,1091.72,1092.0,1092.36,1092.73,1093.11,1093.77,1094.26,1094.5,1094.76,1095.28
360ONE,CASH VOL,869898,1123388,348787,59.49,57.58,,,,,,29794,81484,112717,131948,140894,157253,176364,198996,209352,221043,236607,258230,315342,375719,406402,439014,463614,484075,529109,563375,586174,610585,666719
360ONE,F&O VOL,4143,7567,,,,,,,,,171,477,885,1038,1163,1285,1433,1616,1708,1728,1785,1871,2139,2580,2725,2830,2997,3176,3449,3659,3714,3767,3974
360ONE,F&O OI,15910,15428,,,,,,,,,15899,15979,16076,16086,16058,16063,16104,16147,16149,16156,16156,16172,16294,16414,16431,16463,16478,16497,16518,16517,16530,16552,16588
360ONE,CALL VOL,1404,2631,,,,,,,,,65,256,384,354,480,509,454,498,520,530,548,698,765,973,1013,1058,1151,1232,1339,1436,1445,1452,1519
360ONE,CALL OI,2368,2181,,,,,,,,,1084,2371,2384,1101,2383,2389,1129,1114,1114,1120,1125,2417,2428,2471,2480,2491,2479,2472,2473,2438,2433,2432,2421
360ONE,PUT VOL,962,2864,,,,,,,,,23,115,207,246,281,298,326,339,354,362,367,457,490,561,575,584,621,642,720,760,764,769,797
360ONE,PUT OI,3021,3045,,,,,,,,,2585,3045,3071,2635,3072,3072,2632,2634,2632,2632,2631,3117,3127,3124,3128,3128,3140,3146,3158,3187,3192,3196,3187
ABB,PRICE,7401.5,7387.0,,,,7400.0,7420.5,7407.83,7448.25,7422.75,7381.0,7352.0,7352.0,7363.0,7363.0,7364.0,7372.0,7356.0,7356.0,7374.0,7374.0,7335.0,7335.0,7345.0,7345.0,7332.0,7345.0,7337.0,7318.0,7320.0,7315.0,7313.0,7305.0
ABB,VWAP,,,,,,,,,,,7387.68,7364.5,7363.9,7364.27,7363.55,7363.31,7363.87,7363.32,7364.3,7364.65,7362.65,7359.5,7358.3,7356.76,7356.28,7355.02,7354.67,7352.96,7351.49,7350.7,7349.12,7348.36,7347.12
ABB,CASH VOL,309539,167057,57836,57.68,51.93,,,,,,4242,12885,15101,16374,18422,21997,23991,27501,29328,30430,35774,41631,47478,49331,50766,54411,55603,61723,65229,66710,69198,70642,74232
ABB,F&O VOL,12060,7857,,,,,,,,,350,1246,1646,1834,2052,2221,2369,2662,2880,2929,3317,3740,3949,4097,4352,4524,4599,4793,5152,5468,5929,6296,6789
ABB,F&O OI,26882,25946,,,,,,,,,26941,27084,27065,27060,27084,27080,27077,27076,27063,27052,27079,27144,27159,27156,27174,27224,27207,27214,27277,27238,27272,27283,27310
ABB,CALL VOL,5752,3733,,,,,,,,,201,627,817,889,974,1053,1131,1285,1393,1432,1544,1757,1852,1930,2007,2102,2138,2226,2341,2459,2665,2836,3076
ABB,CALL OI,4112,3773,,,,,,,,,4359,4497,4490,4481,4498,4499,4492,4490,4492,4485,4316,4352,4359,4359,4383,4417,4407,4420,4446,4454,4492,4489,4511
ABB,PUT VOL,2976,1693,,,,,,,,,61,316,394,462,529,565,618,707,777,805,878,950,1002,1025,1076,1114,1125,1172,1260,1373,1482,1655,1774
ABB,PUT OI,5575,5298,,,,,,,,,5583,5564,5550,5554,5554,5550,5546,5550,5547,5542,5531,5540,5531,5525,5524,5536,5529,5529,5528,5502,5462,5506,5509
ABCAPITAL,PRICE,400.0,396.95,,,,398.0,399.27,397.8,402.35,397.25,396.0,398.0,398.0,396.0,396.0,396.0,398.0,397.0,397.0,397.0,397.0,398.0,398.0,398.0,398.0,398.0,398.0,398.0,399.0,399.0,400.0,400.0,400.0
ABCAPITAL,VWAP,,,,,,,,,,,397.55,397.39,397.42,397.24,397.13,397.08,397.18,397.21,397.27,397.29,397.29,397.35,397.46,397.61,397.72,397.77,397.8,397.83,397.85,397.87,398.09,398.13,398.27
ABCAPITAL,CASH VOL,2144020,3482938,465071,49.67,60.18,,,,,,54790,103315,168102,247125,298853,331334,405499,447738,500592,525486,572974,635854,699648,818309,873211,904548,931122,954691,971912,1063984,1090731,1111235,1170621
ABCAPITAL,F&O VOL,5629,6840,,,,,,,,,175,503,694,849,975,1070,1350,1481,1541,1574,1647,1802,1936,2440,2538,2618,2667,2691,2709,2917,3062,3134,3318
