Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,Open,dTC,dBC,wTC,wBC,09:20,09:40,10:00,10:10,10:20,10:30,10:50,11:00,11:10,11:20,11:40,12:00,12:20,12:30,12:50,13:00
360ONE,PRICE,1094.9,1087.4,,,,1089.7,1093.43,1090.5,1155.7,1143.23,1075.0,1072.0,1067.0,1072.0,1077.0,1072.0,1074.0,1070.0,1081.0,1081.0,1081.0,1083.0,1082.0,1085.0,1089.0,1089.0
360ONE,VWAP,,,,,,,,,,,1076.76,1074.83,1072.69,1072.57,1072.87,1072.91,1073.24,1073.23,1073.55,1073.97,1074.63,1075.02,1075.18,1075.81,1076.03,1077.71
360ONE,CASH VOL,839166,869898,265504,61.86,59.49,,,,,,61361,93033,142432,191196,205907,216056,247435,257471,274802,285576,307757,322072,328501,350633,357507,400556
360ONE,F&O VOL,4688,4143,,,,,,,,,690,1207,2214,2492,2726,2867,3282,3549,3882,3984,4217,4418,4473,4555,4695,4953
360ONE,F&O OI,16679,15910,,,,,,,,,16588,16620,16639,16669,16729,16769,16838,16923,16942,16941,17025,17072,17080,17085,17089,17043
360ONE,CALL VOL,1797,1404,,,,,,,,,171,356,687,790,872,913,1054,1168,1309,1378,1508,1595,1609,1627,2029,2160
360ONE,CALL OI,2419,2368,,,,,,,,,1195,1245,1301,1286,1291,1300,1309,1383,1370,1370,1428,1454,1448,1442,2786,2760
360ONE,PUT VOL,900,962,,,,,,,,,82,284,557,620,687,710,821,880,964,986,996,1021,1031,1054,1075,1110
360ONE,PUT OI,3177,3021,,,,,,,,,2677,2653,2654,2658,2669,2675,2702,2702,2690,2686,2685,2681,2682,2680,3158,3166
ABB,PRICE,7329.0,7401.5,,,,7294.0,7352.75,7336.92,7403.75,7391.25,7194.0,7192.0,7242.0,7292.0,7304.0,7285.0,7293.0,7279.0,7275.0,7275.0,7282.0,7294.0,7273.0,7283.0,7272.0,7272.0
ABB,VWAP,,,,,,,,,,,7215.32,7202.37,7206.16,7224.91,7235.53,7239.52,7241.08,7242.9,7244.97,7245.28,7248.41,7250.38,7251.02,7251.35,7252.13,7256.53
ABB,CASH VOL,93304,309539,26059,50.67,57.68,,,,,,15000,24832,34602,44930,50919,56083,57975,63162,69214,70024,78927,83841,85565,86340,88557,102108
ABB,F&O VOL,8151,12060,,,,,,,,,2132,4048,6326,7756,8722,9803,10214,10738,11054,11175,11456,11803,12044,12140,12344,12843
ABB,F&O OI,27227,26882,,,,,,,,,27306,27724,27778,27750,27801,27713,27703,27769,27719,27725,27745,27804,27814,27797,27785,27777
ABB,CALL VOL,3685,5752,,,,,,,,,828,1380,2102,2999,3374,3815,4012,3872,4372,4434,4515,4653,4749,4780,4855,5080
ABB,CALL OI,4460,4112,,,,,,,,,3912,4049,4000,4535,4554,4548,4554,3991,4549,4540,4536,4546,4548,4540,4525,4510
ABB,PUT VOL,2061,2976,,,,,,,,,868,1928,2987,3371,3698,4150,4284,4779,4646,4706,4773,4900,5003,5044,5123,5311
ABB,PUT OI,5488,5575,,,,,,,,,5683,5909,5968,5817,5853,5805,5795,5983,5801,5813,5810,5830,5842,5838,5828,5839
ABCAPITAL,PRICE,400.0,400.0,,,,395.0,399.65,398.95,402.02,396.25,393.0,391.0,391.0,393.0,393.0,392.0,393.0,393.0,393.0,393.0,392.0,394.0,393.0,393.0,394.0,394.0
ABCAPITAL,VWAP,,,,,,,,,,,393.67,393.02,392.68,392.74,392.82,392.81,392.83,392.86,392.86,392.88,392.88,392.94,392.99,393.04,393.14,393.22
ABCAPITAL,CASH VOL,1395209,2144020,320196,47.99,49.67,,,,,,212742,341688,417288,466437,502644,548100,575378,608934,686004,710864,742099,785989,860271,954905,1005037,1054457
ABCAPITAL,F&O VOL,4134,5629,,,,,,,,,1200,2582,3210,3712,3946,4198,4379,4521,5980,6101,6392,6617,6721,7520,7872,8787
ABCAPITAL,F&O OI,20476,20382,,,,,,,,,20687,20911,20931,20971,20964,20945,20949,20962,21186,21158,21178,21162,21145,21293,21327,21441
ABCAPITAL,CALL VOL,2027,2405,,,,,,,,,500,1073,1311,1665,1732,1821,1914,1727,2727,2521,2973,3077,3165,3479,3639,4097
ABCAPITAL,CALL OI,2441,2434,,,,,,,,,2587,2157,2181,2746,2730,2736,2721,2171,2764,2183,2819,2817,2799,2854,2844,2843
ABCAPITAL,PUT VOL,1125,1651,,,,,,,,,361,692,949,1170,1271,1385,1429,1464,1849,1881,1951,2001,2067,2252,2314,2534
ABCAPITAL,PUT OI,3626,3632,,,,,,,,,3615,3466,3573,3759,3753,3728,3739,3597,3779,3632,3744,3724,3728,3759,3762,3776
ADANIENSOL,PRICE,1391.9,1423.3,,,,1375.0,1410.75,1398.18,1405.13,1396.2,1367.0,1375.0,1374.0,1374.0,1377.0,1371.0,1376.0,1370.0,1375.0,1375.0,1372.0,1374.0,1370.0,1369.0,1369.0,1369.0
ADANIENSOL,VWAP,,,,,,,,,,,1372.19,1372.39,1372.48,1372.81,1373.73,1373.61,1373.85,1373.69,1373.75,1373.82,1373.78,1373.64,1373.25,1373.15,1373.0,1372.93
ADANIENSOL,CASH VOL,1412618,1914487,366552,43.7,37.88,,,,,,124098,193958,229160,268769,362666,396125,437326,478360,497012,507946,535514,575557,621755,646019,663998,678368
ADANIENSOL,F&O VOL,18818,41191,,,,,,,,,1811,2847,3297,3827,4350,4623,4972,5362,5486,5613,5970,6317,7130,7515,7753,7980
ADANIENSOL,F&O OI,54910,53131,,,,,,,,,54809,54897,54879,54851,54897,54858,54884,54946,54945,54923,54974,55038,55103,55013,55006,54987
ADANIENSOL,CALL VOL,6063,12558,,,,,,,,,566,1011,1152,1415,1538,1621,1762,1892,1933,1985,2171,2310,2354,2550,2625,2720
ADANIENSOL,CALL OI,4329,3489,,,,,,,,,4371,4800,4811,4806,4833,4830,4844,4878,4884,4870,4931,4976,4629,4603,4619,4622
ADANIENSOL,PUT VOL,4794,5987,,,,,,,,,392,580,641,757,879,960,1021,1120,1174,1200,1264,1311,1482,1597,1628,1667
ADANIENSOL,PUT OI,3869,3391,,,,,,,,,3843,3800,3784,3771,3768,3750,3751,3741,3750,3746,3741,3740,3826,3782,3756,3759
ADANIENT,PRICE,3077.2,3104.7,,,,3040.0,3077.8,3077.4,2924.58,2897.75,3016.0,3025.0,3033.0,3026.0,3026.0,3011.0,3021.0,3019.0,3025.0,3025.0,3023.0,3029.0,3024.0,3032.0,3032.0,3032.0
ADANIENT,VWAP,,,,,,,,,,,3022.25,3023.2,3024.71,3024.79,3024.92,3022.34,3022.32,3021.94,3022.12,3022.71,3022.91,3023.2,3023.48,3023.76,3023.93,3024.07
ADANIENT,CASH VOL,1716315,5320594,559195,39.05,36.86,,,,,,179638,280431,348381,396447,440007,548932,588075,635655,733111,759242,858739,922221,957038,983377,1002237,1017090
ADANIENT,F&O VOL,94517,301044,,,,,,,,,16720,25181,29122,35241,36811,42937,45208,47142,48832,51099,52603,54258,55453,56411,57506,58419
ADANIENT,F&O OI,98254,101156,,,,,,,,,97581,97249,97438,97458,97395,97150,97191,97238,97261,97295,97275,97372,97480,97473,97505,97511
ADANIENT,CALL VOL,39693,163153,,,,,,,,,6261,11468,12145,15554,14617,17070,18090,18806,21675,22821,21478,24573,25291,25876,26377,26798
ADANIENT,CALL OI,21539,21876,,,,,,,,,19564,21535,19722,21589,19675,19710,19864,19928,21724,21722,19898,21868,21971,21883,21901,21883
ADANIENT,PUT VOL,37981,82781,,,,,,,,,7329,10615,12945,15640,16548,19299,20288,21038,21282,21864,22935,22837,23202,23563,23881,24166
ADANIENT,PUT OI,14925,16435,,,,,,,,,14172,14194,13979,14329,14003,13758,13674,13673,14000,14058,13755,13989,13975,14011,14052,14004
ADANIGREEN,PRICE,1299.1,1315.0,,,,1292.6,1307.0,1301.73,1288.75,1263.65,1282.0,1282.0,1287.0,1285.0,1286.0,1280.0,1282.0,1275.0,1281.0,1281.0,1279.0,1280.0,1278.0,1279.0,1280.0,1280.0
ADANIGREEN,VWAP,,,,,,,,,,,1286.77,1286.01,1285.91,1285.8,1285.8,1285.31,1284.9,1283.71,1283.48,1283.43,1283.24,1282.91,1282.81,1282.72,1282.67,1282.66
ADANIGREEN,CASH VOL,1163355,2491107,358335,38.0,32.96,,,,,,184824,235785,275731,305004,325441,361549,402245,450261,475276,487201,506380,549189,561663,578385,591028,607451
