Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,Open,dTC,dBC,wTC,wBC,09:20,09:30,09:50,10:10,10:20,10:30,10:50,11:00,11:20,11:30,12:00,12:10,12:30
360ONE,PRICE,1091.0,1091.0,,,,1092.0,1087.98,1081.95,1104.55,1095.52,1080.0,1074.0,1075.0,1070.0,1068.0,1067.0,1061.0,1060.0,1057.0,1064.0,1063.0,1065.0,1061.0
360ONE,VWAP,,,,,,,,,,,1081.63,1078.35,1076.45,1075.61,1074.85,1074.05,1072.24,1070.26,1069.34,1068.75,1068.27,1068.05,1067.84
360ONE,CASH VOL,835305,835305,,53.91,53.91,,,,,,36132,57850,117946,137321,158052,175344,207173,250521,272557,296851,319649,340816,353762
360ONE,F&O VOL,6692,4688,,,,,,,,,233,574,1035,1314,1458,1564,1929,2282,2598,2851,3203,3359,3407
360ONE,F&O OI,16791,16679,,,,,,,,,16825,16833,16900,16894,16937,16978,16983,16950,16921,16968,17019,17022,17034
360ONE,CALL VOL,1984,1455,,,,,,,,,113,323,509,578,653,692,851,991,1102,1202,1341,1402,1423
360ONE,CALL OI,1087,947,,,,,,,,,1413,1395,1417,1098,1125,1161,1185,1213,1257,1301,1338,1350,1351
360ONE,PUT VOL,1370,874,,,,,,,,,18,53,155,217,252,266,346,395,521,551,634,646,648
360ONE,PUT OI,2644,2640,,,,,,,,,2667,2675,2696,2677,2696,2695,2695,2686,2649,2652,2652,2656,2658
ABB,PRICE,7274.0,7274.0,,,,7268.0,7265.5,7248.5,7326.5,7291.5,7217.0,7127.0,7151.0,7117.0,7117.0,7111.0,7092.0,7099.0,7078.0,7072.0,7078.0,7092.0,7099.0
ABB,VWAP,,,,,,,,,,,7204.71,7158.66,7155.7,7148.32,7145.68,7140.68,7133.44,7130.77,7128.74,7117.79,7113.37,7112.51,7112.15
ABB,CASH VOL,192422,192422,,49.7,49.7,,,,,,12586,33370,44008,57408,63280,72062,86286,91740,95453,113043,122586,127750,130750
ABB,F&O VOL,16932,8151,,,,,,,,,1488,4779,6260,7314,7829,9304,11250,12656,13288,14351,16029,16734,16962
ABB,F&O OI,27605,27227,,,,,,,,,27915,28360,28486,28525,28512,28752,28903,29022,29074,29184,29191,29140,29146
ABB,CALL VOL,5286,2735,,,,,,,,,832,2229,2727,3223,3485,4067,4791,5279,5498,5061,6557,6902,6962
ABB,CALL OI,3474,3357,,,,,,,,,4206,4480,4076,4122,4135,4349,4454,4496,4534,3777,4634,4608,4603
ABB,PUT VOL,7241,2217,,,,,,,,,315,1464,1974,2268,2399,3047,4111,4460,4615,5224,5626,5839,5918
ABB,PUT OI,5491,5382,,,,,,,,,5743,5791,5572,5577,5569,5637,5555,5588,5599,5637,5613,5606,5615
ABCAPITAL,PRICE,395.0,395.0,,,,395.15,394.53,393.6,397.88,395.96,391.0,391.0,390.0,388.0,386.0,385.0,385.0,385.0,384.0,384.0,385.0,385.0,385.0
ABCAPITAL,VWAP,,,,,,,,,,,392.37,391.76,391.4,391.11,390.65,390.4,390.1,389.79,389.57,389.27,389.02,388.84,388.75
ABCAPITAL,CASH VOL,1630117,1630117,,44.2,44.2,,,,,,343440,661611,812437,891203,993144,1043452,1117773,1193171,1247087,1324083,1405584,1482318,1518488
ABCAPITAL,F&O VOL,11344,4134,,,,,,,,,843,1930,2846,3573,5169,6001,6488,6949,7234,7496,7935,8310,8462
ABCAPITAL,F&O OI,21073,20476,,,,,,,,,21270,21361,21498,21544,21833,21855,21825,21898,21977,22036,22083,22131,22130
ABCAPITAL,CALL VOL,3873,1371,,,,,,,,,454,1106,1496,1843,1867,2194,2507,2652,2810,2906,3034,3122,3159
ABCAPITAL,CALL OI,1844,1552,,,,,,,,,2292,2360,2458,2459,2203,2250,2292,2350,2402,2424,2439,2430,2439
ABCAPITAL,PUT VOL,3178,1129,,,,,,,,,148,390,676,814,1346,1630,1779,1853,1902,1990,2206,2428,2530
ABCAPITAL,PUT OI,3594,3529,,,,,,,,,3548,3568,3599,3612,3701,3690,3684,3675,3682,3691,3727,3777,3774
ADANIENSOL,PRICE,1373.0,1373.0,,,,1377.6,1373.1,1373.03,1405.1,1383.7,1366.0,1366.0,1365.0,1364.0,1364.0,1363.0,1362.0,1360.0,1354.0,1355.0,1357.0,1356.0,1358.0
ADANIENSOL,VWAP,,,,,,,,,,,1365.02,1364.97,1364.99,1365.14,1365.16,1365.05,1364.49,1363.8,1363.34,1362.56,1361.85,1361.7,1361.65
ADANIENSOL,CASH VOL,1154404,1154404,,44.53,44.53,,,,,,106116,152820,185110,212718,226688,240390,274339,311938,332548,366228,406116,418169,425455
ADANIENSOL,F&O VOL,12513,18818,,,,,,,,,1059,2532,3333,4004,4318,4517,4866,5230,5523,6140,6610,7084,7208
ADANIENSOL,F&O OI,54935,54910,,,,,,,,,55114,55235,55427,55432,55429,55433,55363,55360,55396,55373,55356,55252,55221
ADANIENSOL,CALL VOL,4231,6063,,,,,,,,,488,1108,1517,1831,1942,2031,2175,2293,2421,2667,2894,3045,3060
ADANIENSOL,CALL OI,4575,4329,,,,,,,,,4738,4827,5064,5056,5051,5042,5028,5064,5087,5088,5080,5022,5010
ADANIENSOL,PUT VOL,2378,4794,,,,,,,,,174,487,586,714,783,823,883,966,1055,1097,1166,1288,1315
ADANIENSOL,PUT OI,3755,3869,,,,,,,,,3752,3762,3750,3740,3747,3749,3741,3747,3732,3741,3750,3756,3756
ADANIENT,PRICE,3060.0,3060.0,,,,3080.0,3050.67,3032.0,3050.0,3030.0,3052.0,3019.0,3015.0,3005.0,3012.0,3018.0,3017.0,3013.0,2997.0,2995.0,2991.0,2990.0,2994.0
ADANIENT,VWAP,,,,,,,,,,,3044.13,3033.6,3028.11,3024.19,3022.72,3022.16,3021.82,3021.17,3018.66,3016.51,3014.35,3012.3,3011.77
ADANIENT,CASH VOL,1815342,1815342,,47.55,47.55,,,,,,96686,168305,236383,297141,336011,359655,369486,429908,496509,545329,603955,657380,679457
ADANIENT,F&O VOL,80845,94517,,,,,,,,,5306,11386,14870,17815,19872,21131,22728,23703,26104,29689,32702,35871,36352
ADANIENT,F&O OI,96804,98254,,,,,,,,,97222,97331,97618,97560,97404,97415,97145,97097,97120,97129,97200,97153,97188
ADANIENT,CALL VOL,34549,34929,,,,,,,,,2742,5487,7238,8664,9666,10179,10808,11340,12416,13860,15223,16703,16934
ADANIENT,CALL OI,18906,19584,,,,,,,,,21263,19399,19576,19523,19493,19551,19546,19558,19696,19863,20037,19989,20000
ADANIENT,PUT VOL,32187,38251,,,,,,,,,1429,3942,5137,6127,6951,7314,7905,8217,9184,10552,11655,12774,12932
ADANIENT,PUT OI,13368,14666,,,,,,,,,13672,13353,13265,13297,13157,13092,13047,12994,12915,12828,12843,12837,12842
ADANIGREEN,PRICE,1281.3,1281.3,,,,1282.3,1287.8,1283.47,1306.45,1289.68,1290.0,1282.0,1276.0,1278.0,1278.0,1277.0,1276.0,1274.0,1266.0,1267.0,1264.0,1264.0,1266.0
ADANIGREEN,VWAP,,,,,,,,,,,1285.99,1285.18,1283.34,1282.9,1282.52,1282.27,1281.83,1281.04,1279.97,1278.78,1278.06,1277.49,1277.34
ADANIGREEN,CASH VOL,997068,997068,,37.35,37.35,,,,,,102447,179762,218779,237037,257510,269422,288132,317190,347525,378984,399479,415006,420273
ADANIGREEN,F&O VOL,15917,17445,,,,,,,,,860,2021,3223,3910,4367,4647,4853,5279,6057,7287,7761,8296,8471
ADANIGREEN,F&O OI,57513,57536,,,,,,,,,57639,57764,57618,57659,57616,57595,57579,57527,57416,57328,57345,57410,57369
ADANIGREEN,CALL VOL,6736,6512,,,,,,,,,458,998,1649,1962,2195,2329,2438,2623,2763,3094,3271,3508,3586
ADANIGREEN,CALL OI,5175,4981,,,,,,,,,5884,5920,5874,5879,5852,5851,5857,5837,5089,5054,5070,5122,5121
ADANIGREEN,PUT VOL,4277,5693,,,,,,,,,203,519,866,1044,1166,1246,1282,1432,1792,1992,2114,2293,2349
ADANIGREEN,PUT OI,4366,4409,,,,,,,,,4349,4407,4411,4440,4431,4427,4435,4424,4430,4407,4419,4428,4396
ADANIPORTS,PRICE,1764.6,1764.6,,,,1791.4,1763.52,1761.35,1754.92,1735.55,1765.0,1745.0,1746.0,1741.0,1742.0,1744.0,1741.0,1741.0,1738.0,1747.0,1747.0,1746.0,1747.0
ADANIPORTS,VWAP,,,,,,,,,,,1764.05,1759.73,1757.04,1754.95,1754.4,1753.76,1752.74,1752.03,1751.56,1750.5,1750.42,1750.24,1750.18
ADANIPORTS,CASH VOL,1674823,1674823,,61.38,61.38,,,,,,283523,364196,413876,458326,474915,497390,535865,566011,586480,713865,774367,807603,822674
ADANIPORTS,F&O VOL,38280,52655,,,,,,,,,4009,6878,9628,11625,12925,13698,14711,15453,16302,18413,19756,20419,20747
ADANIPORTS,F&O OI,73397,73704,,,,,,,,,73390,73549,73558,73541,73540,73605,73537,73564,73517,73451,73602,73632,73638
ADANIPORTS,CALL VOL,17277,21987,,,,,,,,,1900,3418,4596,5511,6188,6569,7055,7405,7802,9217,9604,9917,10087
ADANIPORTS,CALL OI,15461,15461,,,,,,,,,15286,15560,15640,15621,15621,15613,15638,15654,15596,15337,15462,15467,15464
ADANIPORTS,PUT VOL,13924,19010,,,,,,,,,941,2148,3083,3644,3993,4235,4575,4780,5137,5439,6178,6406,6482
ADANIPORTS,PUT OI,11988,12028,,,,,,,,,11296,11866,11797,11750,11734,11751,11732,11709,11680,11107,11779,11774,11754
ADANIPOWER,PRICE,209.97,209.97,,,,211.05,210.44,210.13,210.11,210.02,209.0,206.0,206.0,206.0,205.0,205.0,205.0,205.0,204.0,204.0,204.0,204.0,204.0
ADANIPOWER,VWAP,,,,,,,,,,,209.24,207.86,207.52,207.41,207.08,207.0,206.85,206.66,206.54,206.41,206.3,206.17,206.14
ADANIPOWER,CASH VOL,10271412,10271412,,37.17,37.17,,,,,,1273426,2533003,3279814,3672727,4503921,4740731,5192358,5776137,6087372,6447855,6780505,7185470,7355896
ADANIPOWER,F&O VOL,27434,23488,,,,,,,,,1606,4392,7578,8758,11283,12109,13364,15086,16570,17975,19062,20337,20769
ADANIPOWER,F&O OI,83451,83872,,,,,,,,,83763,84058,84275,84409,84642,84724,84812,85019,85112,85217,85315,85357,85350
ADANIPOWER,CALL VOL,12846,10254,,,,,,,,,922,2510,4564,5232,6489,6936,7713,8711,9495,10099,10688,11316,11547
ADANIPOWER,CALL OI,13465,13433,,,,,,,,,14776,14004,14111,14194,14373,14448,14563,14738,14785,14824,14888,14904,14897
ADANIPOWER,PUT VOL,7830,7428,,,,,,,,,352,1113,1760,2046,2900,3100,3380,3972,4341,4675,4997,5429,5579
ADANIPOWER,PUT OI,10555,10794,,,,,,,,,9800,10442,10419,10397,10384,10358,10322,10262,10253,10283,10273,10218,10219
ALKEM,PRICE,5087.5,5087.5,,,,5170.0,5089.5,5088.17,5146.75,5107.25,5169.0,5225.0,5253.0,5259.0,5282.0,5280.0,5278.0,5278.0,5275.0,5283.0,5263.0,5276.0,5280.0
ALKEM,VWAP,,,,,,,,,,,5168.18,5194.2,5219.81,5225.61,5239.29,5244.86,5247.53,5249.73,5251.47,5255.2,5256.13,5256.98,5257.76
ALKEM,CASH VOL,238760,238760,,78.42,78.42,,,,,,15971,29148,45351,52461,72740,80010,86740,93755,99906,114834,122271,128786,133952
