Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,Open,dTC,dBC,wTC,wBC,09:20,09:40,09:50,10:10,10:20,10:30
360ONE,PRICE,1052.1,1091.0,,,,1051.2,1072.5,1058.9,1104.55,1095.52,1055.0,1047.0,1053.0,1047.0,1049.0,1049.0
360ONE,VWAP,,,,,,,,,,,1058.03,1054.48,1052.51,1052.02,1051.76,1052.64
360ONE,CASH VOL,896308,835305,318718,53.08,53.91,,,,,,12810,29793,45296,53648,59611,69324
360ONE,F&O VOL,6247,6692,,,,,,,,,266,1022,1467,1633,1792,2161
360ONE,F&O OI,16998,16791,,,,,,,,,17010,17142,16941,16906,16896,16905
360ONE,CALL VOL,2240,1984,,,,,,,,,94,278,454,449,560,691
360ONE,CALL OI,1470,1087,,,,,,,,,1473,1163,1538,1189,1546,1547
360ONE,PUT VOL,1569,1370,,,,,,,,,116,357,532,560,608,674
360ONE,PUT OI,2790,2644,,,,,,,,,2799,2436,2818,2415,2818,2818
ABB,PRICE,7005.0,7274.0,,,,7005.0,7136.5,7048.83,7326.5,7291.5,6996.0,6918.0,6968.0,6932.0,6945.0,6945.0
ABB,VWAP,,,,,,,,,,,7010.73,6970.25,6964.04,6959.16,6955.18,6955.18
ABB,CASH VOL,195095,192422,46448,47.84,49.7,,,,,,11204,28194,35940,45870,52850,54912
ABB,F&O VOL,24161,16932,,,,,,,,,1801,4235,5819,6769,7167,7584
ABB,F&O OI,29283,27605,,,,,,,,,29489,29511,29578,29603,29594,29518
ABB,CALL VOL,8749,4553,,,,,,,,,646,1064,1957,1901,1980,2555
ABB,CALL OI,4048,2737,,,,,,,,,4108,2928,4263,3101,3102,4298
ABB,PUT VOL,8377,7235,,,,,,,,,839,1950,2483,2854,2982,2977
ABB,PUT OI,5429,5266,,,,,,,,,5622,5058,5580,5073,5088,5562
ABCAPITAL,PRICE,378.8,395.0,,,,378.8,387.8,381.8,397.88,395.96,380.0,379.0,381.0,379.0,380.0,380.0
ABCAPITAL,VWAP,,,,,,,,,,,381.16,380.61,380.61,380.4,380.07,380.1
ABCAPITAL,CASH VOL,2529778,1630117,523593,50.44,44.2,,,,,,134389,213452,286527,372673,481063,498991
ABCAPITAL,F&O VOL,14512,11344,,,,,,,,,698,1410,2362,2768,3102,3219
ABCAPITAL,F&O OI,22302,21073,,,,,,,,,22355,22413,22446,22470,22500,22495
ABCAPITAL,CALL VOL,4118,2669,,,,,,,,,279,530,846,983,1072,1110
ABCAPITAL,CALL OI,2000,1176,,,,,,,,,2008,2036,2033,2060,2066,2061
ABCAPITAL,PUT VOL,4327,3149,,,,,,,,,263,503,817,956,1075,1112
ABCAPITAL,PUT OI,3389,3326,,,,,,,,,3420,3427,3458,3444,3458,3456
ADANIENSOL,PRICE,1347.5,1373.0,,,,1347.6,1358.4,1351.13,1405.1,1383.7,1352.0,1346.0,1354.0,1345.0,1348.0,1348.0
ADANIENSOL,VWAP,,,,,,,,,,,1357.6,1354.41,1353.83,1352.89,1352.29,1352.24
ADANIENSOL,CASH VOL,822951,1154404,275314,42.21,44.53,,,,,,142988,229191,326891,373075,404363,423988
ADANIENSOL,F&O VOL,12561,12513,,,,,,,,,1160,2016,2635,3037,3221,3427
ADANIENSOL,F&O OI,54663,54935,,,,,,,,,54774,54827,54849,54810,54806,54783
ADANIENSOL,CALL VOL,4794,4231,,,,,,,,,456,622,883,941,984,1127
ADANIENSOL,CALL OI,4903,4575,,,,,,,,,4906,4335,4940,4372,4364,4966
ADANIENSOL,PUT VOL,2346,2378,,,,,,,,,207,373,499,546,581,604
ADANIENSOL,PUT OI,3803,3755,,,,,,,,,3817,3681,3839,3681,3666,3809
ADANIENT,PRICE,2928.6,3060.0,,,,2957.0,3002.5,2953.23,3050.0,3030.0,2943.0,2926.0,2932.0,2921.0,2936.0,2936.0
ADANIENT,VWAP,,,,,,,,,,,2952.58,2944.32,2939.6,2937.84,2937.06,2937.19
ADANIENT,CASH VOL,1783310,1815342,737737,51.64,47.55,,,,,,123275,197919,263999,298193,330185,353889
ADANIENT,F&O VOL,79492,80845,,,,,,,,,8866,13435,19040,21551,23126,24451
ADANIENT,F&O OI,96523,96804,,,,,,,,,96760,96823,96966,97081,97111,96992
ADANIENT,CALL VOL,34092,32283,,,,,,,,,5191,6609,10201,11266,11972,12540
ADANIENT,CALL OI,20316,18238,,,,,,,,,20406,16311,20568,20735,20699,20664
ADANIENT,PUT VOL,28120,32941,,,,,,,,,2395,3718,6363,7018,7602,8056
ADANIENT,PUT OI,13553,14272,,,,,,,,,13585,11817,13614,13605,13622,13607
ADANIGREEN,PRICE,1255.0,1281.3,,,,1253.9,1271.5,1260.5,1306.45,1289.68,1262.0,1251.0,1255.0,1250.0,1253.0,1253.0
ADANIGREEN,VWAP,,,,,,,,,,,1262.41,1258.21,1256.58,1255.92,1255.71,1255.87
ADANIGREEN,CASH VOL,980470,997068,473255,50.06,37.35,,,,,,65685,126369,171636,192493,203280,219394
ADANIGREEN,F&O VOL,15437,15917,,,,,,,,,1642,3426,4041,4350,4571,4959
ADANIGREEN,F&O OI,56518,57513,,,,,,,,,56671,56735,56736,56744,56745,56734
ADANIGREEN,CALL VOL,6398,6736,,,,,,,,,828,1646,1925,2046,2164,2310
