Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,Open,dTC,dBC,wTC,wBC,09:20,09:30,09:50,10:00,10:20,10:30,10:50,11:00,11:10,11:20,11:40,12:00,12:20,12:30,12:50,13:00,13:20,13:40,14:00,14:10,14:20,14:30,14:50,15:00,15:20
360ONE,PRICE,1045.6,1052.1,,,,1041.0,1052.15,1047.78,1104.55,1095.52,1040.0,1050.0,1050.0,1050.0,1052.0,1050.0,1055.0,1055.0,1046.0,1047.0,1049.0,1051.0,1053.0,1057.0,1060.0,1062.0,1061.0,1059.0,1059.0,1058.0,1060.0,1059.0,1060.0,1058.0,1061.0
360ONE,VWAP,,,,,,,,,,,1045.23,1048.86,1050.53,1050.49,1050.73,1050.61,1051.01,1051.2,1050.87,1050.76,1050.63,1050.74,1050.93,1051.25,1052.18,1052.69,1053.24,1053.5,1053.8,1054.02,1054.28,1054.46,1054.78,1055.71,1056.06
360ONE,CASH VOL,635279,896308,81967,71.85,53.08,,,,,,14742,34484,53183,67078,76857,93849,108775,123488,139203,143592,156055,173889,188693,199994,225754,237301,254123,265290,280203,291899,304567,314452,333721,398124,434709
360ONE,F&O VOL,5536,6247,,,,,,,,,120,260,633,714,787,891,1147,1344,1432,1528,1580,1753,2044,2261,2653,2768,2932,3038,3392,3853,3917,4225,4575,4872,5043
360ONE,F&O OI,16697,16998,,,,,,,,,16703,16693,16731,16741,16743,16722,16716,16735,16677,16633,16641,16679,16763,16781,16810,16795,16790,16799,16773,16859,16863,16930,17014,16986,16997
360ONE,CALL VOL,1709,2240,,,,,,,,,39,102,272,316,339,364,458,491,518,527,568,699,825,924,1050,1123,1181,1250,1336,1630,1669,1752,1989,2070,2139
360ONE,CALL OI,1621,1470,,,,,,,,,1254,1606,1623,1634,1630,1627,1626,1270,1278,1281,1650,1711,1757,1770,1764,1769,1754,1774,1797,2001,2010,1997,2080,2081,2102
360ONE,PUT VOL,1487,1569,,,,,,,,,47,99,199,211,226,247,302,340,350,353,366,379,450,493,572,600,645,663,682,709,715,891,950,979,1018
360ONE,PUT OI,2838,2790,,,,,,,,,2449,2851,2865,2866,2866,2860,2847,2455,2452,2455,2845,2836,2841,2853,2856,2856,2861,2861,2869,2858,2863,2931,2931,2933,2931
ABB,PRICE,6980.0,7005.0,,,,6980.0,6979.42,6978.25,7326.5,7291.5,6991.0,7094.0,7094.0,7092.0,7090.0,7083.0,7085.0,7087.0,7086.0,7083.0,7077.0,7097.0,7092.0,7090.0,7073.0,7071.0,7094.0,7090.0,7085.0,7087.0,7104.0,7099.0,7095.0,7105.0,7120.0
