Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,Open,dTC,dBC,wTC,wBC,09:10,09:20,09:30,09:50,10:00,10:10,10:20,10:30,10:50,11:00,11:10,11:20,11:30,11:50,12:10,12:20,12:40
360ONE,PRICE,1061.3,1045.6,,,,1060.5,1057.88,1051.05,1096.9,1092.97,1061.0,1068.0,1069.0,1073.0,1073.0,1074.0,1078.0,1076.0,1076.0,1077.0,1076.0,1077.0,1075.0,1076.0,1076.0,1076.0,1074.0
360ONE,VWAP,,,,,,,,,,,1066.53,1068.36,1068.47,1069.89,1070.63,1071.71,1072.13,1072.44,1072.62,1073.01,1073.16,1073.27,1073.45,1073.56,1073.56,1073.57,1073.58
360ONE,CASH VOL,442034,635279,151231,55.02,71.85,,,,,,8869,18317,27362,40340,42406,62720,66488,76210,81611,88736,91463,93647,100189,104031,108726,113581,115801
360ONE,F&O VOL,5375,5536,,,,,,,,,98,302,454,843,1008,1232,1369,1633,1820,2041,2072,2108,2185,2226,2357,2432,2491
360ONE,F&O OI,16870,16697,,,,,,,,,16853,16788,16786,16770,16763,16712,16718,16667,16665,16691,16639,16642,16636,16591,16561,16589,16584
360ONE,CALL VOL,2454,1788,,,,,,,,,98,200,297,501,576,676,746,824,896,978,998,1004,1028,1055,1140,1152,1167
360ONE,CALL OI,2263,1855,,,,,,,,,2083,2048,2050,2194,2168,2139,2124,2120,2108,2113,2117,2121,2116,2107,2091,2101,2100
360ONE,PUT VOL,1019,1417,,,,,,,,,5,49,62,147,191,234,272,365,420,499,501,512,528,532,542,550,568
360ONE,PUT OI,2946,2852,,,,,,,,,2938,2930,2936,2961,2966,2965,2969,2960,2970,2970,2971,2974,2975,2972,2973,2976,2976
ABB,PRICE,7130.5,6980.0,,,,7185.5,7110.92,7071.75,7326.5,7291.5,7130.0,7221.0,7272.0,7258.0,7236.0,7225.0,7236.0,7218.0,7206.0,7191.0,7193.0,7190.0,7182.0,7184.0,7184.0,7184.0,7210.0
ABB,VWAP,,,,,,,,,,,7212.83,7249.25,7262.07,7261.13,7258.68,7256.63,7255.63,7253.1,7248.27,7245.26,7236.02,7233.83,7232.76,7227.88,7226.46,7223.31,7222.15
ABB,CASH VOL,207124,115646,27630,47.08,39.16,,,,,,13396,30154,44059,49507,55380,58288,61180,64719,72449,74708,89811,93740,95728,105931,109036,122126,136077
ABB,F&O VOL,27297,15058,,,,,,,,,1832,8282,14951,18239,20257,21164,22444,23413,24331,25065,25700,25997,26277,26854,27208,27752,28970
ABB,F&O OI,32489,29628,,,,,,,,,32209,32351,32913,32941,32938,32927,32972,33009,33044,33204,33262,33276,33307,33281,33372,33333,33124
ABB,CALL VOL,13223,6152,,,,,,,,,1422,5885,10414,12429,13424,13870,14591,15035,15527,15941,16314,16482,16639,16968,17189,17525,18296
ABB,CALL OI,7771,5775,,,,,,,,,7587,8082,8315,8300,7786,7774,7764,7809,7852,8014,8031,8053,8096,8096,8175,8144,8006
ABB,PUT VOL,9386,5339,,,,,,,,,555,1393,2918,3583,4297,4605,4982,5326,5580,5760,5917,5976,6066,6192,6259,6372,6640
ABB,PUT OI,6877,5720,,,,,,,,,6793,6020,6399,6381,7251,7244,7231,7233,7204,7227,7232,7231,7210,7192,7194,7178,7166
ABCAPITAL,PRICE,390.0,381.3,,,,390.5,388.83,386.5,396.52,395.51,390.0,394.0,393.0,394.0,395.0,395.0,395.0,395.0,397.0,399.0,400.0,400.0,401.0,402.0,402.0,402.0,401.0
