Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,Open,dTC,dBC,wTC,wBC,09:20,09:30,09:50,10:00,10:20,10:30,10:50,11:00,11:10,11:20,11:40,12:00,12:20,12:30,12:50,13:00,13:20,13:30,13:50
360ONE,PRICE,1073.1,1061.3,,,,1073.3,1073.3,1073.17,1089.8,1087.4,1072.0,1069.0,1064.0,1063.0,1068.0,1068.0,1071.0,1072.0,1075.0,1076.0,1078.0,1076.0,1076.0,1080.0,1070.0,1073.0,1071.0,1071.0,1072.0
360ONE,VWAP,,,,,,,,,,,1075.95,1073.38,1071.78,1070.74,1070.06,1069.89,1069.94,1070.05,1070.48,1070.57,1071.45,1071.77,1072.07,1072.79,1072.71,1071.44,1071.45,1071.44,1071.42
360ONE,CASH VOL,519067,442034,315326,66.99,55.02,,,,,,19518,42204,53411,62694,76932,83181,89063,92334,101035,102831,113828,120445,128794,140394,222121,329708,334364,339039,350551
360ONE,F&O VOL,4839,5375,,,,,,,,,142,437,838,1194,1466,1619,1804,2018,2164,2308,2556,2695,2765,3439,3608,4005,4065,4136,4420
360ONE,F&O OI,16625,16870,,,,,,,,,16638,16629,16627,16627,16667,16653,16626,16556,16536,16571,16587,16571,16558,16675,16657,16639,16629,16638,16811
360ONE,CALL VOL,2121,2454,,,,,,,,,92,252,350,510,650,715,855,911,991,1106,1211,1290,1334,1677,1773,1896,1926,1962,2168
360ONE,CALL OI,2094,2263,,,,,,,,,2105,1945,1965,1986,2016,2014,2188,2165,2138,2181,2196,2203,2200,2220,2203,2212,2200,2219,2389
360ONE,PUT VOL,1024,1019,,,,,,,,,32,90,168,249,308,345,396,481,530,545,633,658,666,839,875,1010,1023,1039,1083
360ONE,PUT OI,3070,2946,,,,,,,,,3077,3038,3031,3059,3071,3071,3075,3065,3078,3077,3085,3063,3062,3067,3062,3054,3052,3051,3057
ABB,PRICE,7270.5,7130.5,,,,7240.0,7256.67,7229.0,7326.5,7291.5,7226.0,7262.0,7252.0,7242.0,7260.0,7259.0,7321.0,7292.0,7262.0,7259.0,7261.0,7250.0,7246.0,7259.0,7272.0,7286.0,7266.0,7260.0,7260.0
ABB,VWAP,,,,,,,,,,,7254.36,7257.74,7258.47,7255.72,7255.84,7257.38,7274.77,7282.17,7281.48,7279.42,7278.53,7277.06,7276.07,7275.67,7271.7,7272.24,7271.6,7271.51,7270.8
ABB,CASH VOL,383030,207124,192103,57.62,47.08,,,,,,12122,17846,23266,27494,29706,33210,47802,59131,63047,68404,72727,76581,79122,80486,101084,106370,120782,121571,129311
ABB,F&O VOL,40980,27297,,,,,,,,,1331,2921,3913,4612,4978,5635,8817,10063,10838,11216,11826,12401,12750,12951,13708,14575,15288,15452,15731
ABB,F&O OI,32301,32489,,,,,,,,,32289,32415,32531,32532,32549,32595,31850,31741,31790,31787,31780,31872,31847,31870,31843,31847,31910,31911,31959
ABB,CALL VOL,25642,13501,,,,,,,,,1053,1704,2188,2493,2680,3025,4677,5216,5647,5831,6112,6241,6400,6765,7188,7672,7970,8037,8170
ABB,CALL OI,7842,8228,,,,,,,,,7882,7907,7322,7972,7984,7968,7721,7654,7685,7713,7745,7212,7192,7802,7791,7765,7792,7805,7824
ABB,PUT VOL,9028,7845,,,,,,,,,384,687,1202,1110,1197,1383,2128,2517,2748,2831,3031,4110,4200,3205,3364,3563,3769,3817,3875
ABB,PUT OI,6355,5968,,,,,,,,,6364,6393,7275,6427,6440,6460,6443,6431,6441,6437,6378,6739,6740,6367,6374,6364,6344,6340,6339
ABCAPITAL,PRICE,410.05,390.0,,,,405.1,406.79,400.27,396.52,395.51,402.0,402.0,402.0,401.0,401.0,401.0,402.0,402.0,402.0,402.0,402.0,402.0,402.0,401.0,402.0,402.0,402.0,402.0,402.0
ABCAPITAL,VWAP,,,,,,,,,,,403.35,403.35,403.2,402.79,402.61,402.54,402.49,402.47,402.45,402.44,402.44,402.42,402.37,402.35,402.31,402.31,402.32,402.33,402.32
ABCAPITAL,CASH VOL,4888619,2783223,2190752,62.47,43.46,,,,,,133347,227194,263073,351778,387093,404812,483126,528111,558243,589143,644029,706804,769324,794446,865147,950492,999356,1032904,1124827
ABCAPITAL,F&O VOL,26957,14294,,,,,,,,,647,1714,2089,2731,3077,3262,3766,3981,4162,4316,4521,4682,4847,4928,5154,5467,5537,5589,5878
ABCAPITAL,F&O OI,21588,21789,,,,,,,,,21614,21641,21589,21564,21618,21609,21636,21581,21614,21628,21621,21632,21614,21604,21637,21703,21707,21691,21680
ABCAPITAL,CALL VOL,12189,7014,,,,,,,,,411,904,1051,1352,1511,1609,1859,1950,2050,2191,2219,2292,2352,2393,2520,2641,2734,2752,2843
ABCAPITAL,CALL OI,3332,3574,,,,,,,,,3577,3611,3371,3359,3400,3379,3396,3409,3424,3662,3422,3425,3403,3390,3408,3396,3624,3611,3366
ABCAPITAL,PUT VOL,8873,3528,,,,,,,,,234,525,668,876,987,1043,1188,1244,1285,1270,1389,1441,1479,1497,1562,1597,1575,1585,1712
ABCAPITAL,PUT OI,3816,3516,,,,,,,,,3638,3609,3753,3752,3753,3758,3741,3732,3735,3565,3737,3738,3735,3737,3741,3745,3571,3570,3743
ADANIENSOL,PRICE,1436.1,1386.8,,,,1421.1,1426.97,1408.7,1405.1,1383.7,1419.0,1424.0,1410.0,1411.0,1412.0,1411.0,1412.0,1413.0,1412.0,1413.0,1411.0,1409.0,1407.0,1410.0,1410.0,1412.0,1410.0,1404.0,1406.0
