Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,Open,dTC,dBC,wTC,wBC,09:10,09:20,09:40,09:50,10:10,10:20,10:30,10:50,11:00,11:10,11:20,11:40,12:00,12:20,12:30,12:50,13:00,13:10,13:20,13:40,14:00,14:10,14:20,14:40,14:50,15:10,15:20
360ONE,PRICE,1072.7,1073.1,,,,1074.3,1074.35,1073.25,1071.3,1067.7,1087.0,1086.0,1082.0,1091.0,1091.0,1090.0,1089.0,1087.0,1083.0,1083.0,1083.0,1083.0,1078.0,1079.0,1078.0,1073.0,1072.0,1071.0,1068.0,1067.0,1067.0,1066.0,1066.0,1071.0,1071.0,1070.0,1071.0
360ONE,VWAP,,,,,,,,,,,1085.77,1085.43,1084.67,1086.61,1087.46,1088.17,1088.31,1088.13,1087.7,1087.62,1087.54,1087.32,1086.65,1086.36,1086.04,1085.73,1085.29,1084.6,1084.15,1083.72,1082.75,1082.14,1081.97,1081.61,1080.73,1079.82,1079.5
360ONE,CASH VOL,573949,519067,201601,54.16,66.99,,,,,,18734,28248,41682,68334,82923,105016,117039,126688,139972,142603,145756,152640,166734,171588,178333,183789,189951,201941,205286,211386,223797,235270,238624,246532,272786,300291,309219
360ONE,F&O VOL,5654,4839,,,,,,,,,270,510,796,1596,2080,2401,2596,2795,2940,2956,3000,3153,3524,3694,3855,3940,4025,4369,4562,4647,4844,5086,5142,5227,5659,5818,5886
360ONE,F&O OI,16565,16625,,,,,,,,,16600,16590,16612,16601,16615,16545,16568,16561,16560,16562,16560,16572,16538,16508,16504,16503,16484,16507,16557,16545,16550,16543,16541,16522,16533,16551,16534
360ONE,CALL VOL,2641,2121,,,,,,,,,107,242,416,994,1249,1361,1393,1494,1575,1581,1614,1717,1954,2048,2098,2154,2200,2308,2385,2413,2491,2691,2704,2736,2900,2915,3006
360ONE,CALL OI,2364,2094,,,,,,,,,2367,2378,2393,3615,3627,3619,2470,2490,2501,2504,2504,2512,2481,2449,2460,2453,2449,2319,2333,2331,2335,2474,2485,2481,2460,2306,2447
360ONE,PUT VOL,1436,1024,,,,,,,,,80,109,173,322,416,579,664,715,734,740,744,770,824,868,927,935,950,1076,1154,1182,1235,1258,1272,1300,1383,1439,1427
360ONE,PUT OI,3113,3070,,,,,,,,,3136,3145,3150,3510,3531,3465,3109,3092,3093,3090,3089,3088,3081,3090,3083,3081,3088,3063,3088,3091,3083,3109,3103,3085,3072,3031,3059
ABB,PRICE,7271.0,7270.5,,,,7261.5,7275.5,7272.5,7218.58,7114.75,7331.0,7356.0,7364.0,7349.0,7344.0,7334.0,7331.0,7315.0,7261.0,7276.0,7276.0,7276.0,7250.0,7253.0,7243.0,7225.0,7195.0,7189.0,7172.0,7179.0,7151.0,7140.0,7140.0,7158.0,7159.0,7133.0,7130.0
ABB,VWAP,,,,,,,,,,,7325.67,7362.5,7361.02,7362.25,7359.4,7357.01,7355.67,7351.36,7345.99,7344.01,7342.9,7340.39,7335.68,7333.74,7331.12,7328.79,7324.43,7320.81,7317.22,7314.44,7309.46,7304.29,7301.4,7297.68,7292.86,7280.22,7274.23
ABB,CASH VOL,161482,383030,30225,43.08,57.62,,,,,,16383,44007,64692,75732,85673,92206,96035,104623,111343,114252,115712,119316,125613,128446,131778,134684,139517,143890,146627,149086,154597,158796,161944,166193,172214,187020,195103
ABB,F&O VOL,18412,40980,,,,,,,,,1107,7103,13015,16431,19061,20130,21364,22985,25222,26268,26668,27267,28880,29383,30400,31341,33398,34235,35660,36535,37946,39556,40242,40634,41410,42631,43877
ABB,F&O OI,31642,32301,,,,,,,,,31624,31519,31670,31900,31912,32023,32050,32049,32147,32295,32297,32295,32448,32547,32664,32623,32789,32786,32893,33007,33210,33360,33358,33448,33469,33653,33669
ABB,CALL VOL,8528,24007,,,,,,,,,693,4685,8637,10683,12180,13094,13626,14756,15953,16546,16700,17133,17984,17169,17576,18016,18825,19212,19816,20209,19653,21517,21796,21987,20977,21452,22191
ABB,CALL OI,6451,6621,,,,,,,,,7669,7869,8017,8013,8089,8205,8242,8251,8315,8451,8481,8523,8550,7991,8046,8015,8133,8148,8263,8342,7845,8564,8579,8618,7946,7980,7998
ABB,PUT VOL,6073,9855,,,,,,,,,253,1359,2607,3313,3975,4270,4518,4860,5400,5782,5915,6077,6311,6868,7264,7559,8424,8654,9237,9555,10123,10609,10816,10949,11325,11727,12103
ABB,PUT OI,6489,7115,,,,,,,,,6274,6118,6096,6290,6186,6158,6145,6107,6112,6099,6081,6037,6000,6162,6110,6121,6196,6204,6246,6239,6075,6268,6208,6210,6046,6121,6078
ABCAPITAL,PRICE,403.4,410.05,,,,401.0,403.33,403.2,404.71,394.02,403.0,403.0,403.0,402.0,402.0,402.0,401.0,401.0,400.0,401.0,401.0,401.0,398.0,399.0,398.0,397.0,395.0,395.0,395.0,396.0,396.0,396.0,396.0,398.0,397.0,396.0,397.0
ABCAPITAL,VWAP,,,,,,,,,,,403.27,403.51,403.52,403.46,403.06,402.9,402.51,401.66,401.5,401.49,401.49,401.28,400.91,400.77,400.69,400.59,400.15,400.02,399.87,399.81,399.73,399.58,399.54,399.48,399.31,399.04,398.83
