Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,Open,dTC,dBC,wTC,wBC,09:10,09:20
360ONE,PRICE,1073.5,1072.7,,,,1093.7,1079.2,1075.4,1071.3,1067.7,1073.0,1101.0
360ONE,VWAP,,,,,,,,,,,1097.0,1099.73
360ONE,CASH VOL,338935,573949,108440,49.51,54.16,,,,,,302681,546446
360ONE,F&O VOL,6037,5654,,,,,,,,,8242,18764
360ONE,F&O OI,16512,16565,,,,,,,,,17723,19080
360ONE,CALL VOL,3243,2758,,,,,,,,,7354,14180
360ONE,CALL OI,3593,3522,,,,,,,,,4614,5473
360ONE,PUT VOL,1432,1428,,,,,,,,,1101,2986
360ONE,PUT OI,3436,3497,,,,,,,,,3537,3705
ABB,PRICE,7120.5,7271.0,,,,7141.5,7261.5,7167.5,7218.58,7114.75,7120.0,7146.0
ABB,VWAP,,,,,,,,,,,7144.33,7140.36
ABB,CASH VOL,196683,161482,38929,42.09,43.08,,,,,,9788,12942
ABB,F&O VOL,45239,18412,,,,,,,,,1060,2840
ABB,F&O OI,33610,31642,,,,,,,,,33673,33702
ABB,CALL VOL,22706,8528,,,,,,,,,808,1656
ABB,CALL OI,7989,6451,,,,,,,,,8017,8048
ABB,PUT VOL,12425,6073,,,,,,,,,279,657
ABB,PUT OI,6056,6489,,,,,,,,,6063,6039
ABCAPITAL,PRICE,397.0,403.4,,,,398.85,399.82,397.94,404.71,394.02,397.0,400.0
ABCAPITAL,VWAP,,,,,,,,,,,399.87,400.15
ABCAPITAL,CASH VOL,2377189,1591907,765895,63.82,55.23,,,,,,72960,128005
ABCAPITAL,F&O VOL,11342,7950,,,,,,,,,346,1025
ABCAPITAL,F&O OI,21643,21336,,,,,,,,,21614,21640
ABCAPITAL,CALL VOL,4956,3878,,,,,,,,,195,523
ABCAPITAL,CALL OI,3511,3343,,,,,,,,,3475,3435
ABCAPITAL,PUT VOL,3864,2251,,,,,,,,,94,265
ABCAPITAL,PUT OI,3498,3665,,,,,,,,,3496,3497
ADANIENSOL,PRICE,1381.7,1397.6,,,,1386.0,1393.9,1385.77,1419.57,1386.5,1381.0,1383.0
ADANIENSOL,VWAP,,,,,,,,,,,1383.17,1382.76
ADANIENSOL,CASH VOL,1791593,1943661,727091,60.48,61.83,,,,,,66399,102987
ADANIENSOL,F&O VOL,22624,12046,,,,,,,,,496,907
ADANIENSOL,F&O OI,54568,53871,,,,,,,,,54623,54671
ADANIENSOL,CALL VOL,5396,4024,,,,,,,,,307,502
ADANIENSOL,CALL OI,4888,4406,,,,,,,,,4944,4998
ADANIENSOL,PUT VOL,2120,2592,,,,,,,,,96,134
ADANIENSOL,PUT OI,3265,3506,,,,,,,,,3270,3260
ADANIENT,PRICE,2997.0,2975.0,,,,3015.5,3002.85,2998.95,3011.78,2995.35,2997.0,3008.0
ADANIENT,VWAP,,,,,,,,,,,3008.17,3008.05
ADANIENT,CASH VOL,793747,782730,197941,26.76,38.96,,,,,,56742,105393
ADANIENT,F&O VOL,75701,57234,,,,,,,,,3549,6553
ADANIENT,F&O OI,100067,97500,,,,,,,,,100261,100627
ADANIENT,CALL VOL,38064,29441,,,,,,,,,2417,3792
ADANIENT,CALL OI,21060,20747,,,,,,,,,21179,21384
ADANIENT,PUT VOL,17956,15614,,,,,,,,,809,1887
ADANIENT,PUT OI,11337,11931,,,,,,,,,11415,11578
ADANIGREEN,PRICE,1304.0,1303.6,,,,1316.9,1308.5,1305.5,1320.25,1291.75,1304.0,1311.0
ADANIGREEN,VWAP,,,,,,,,,,,1311.7,1312.19
ADANIGREEN,CASH VOL,437524,644395,81789,26.07,32.24,,,,,,56165,81730
ADANIGREEN,F&O VOL,26794,21103,,,,,,,,,1127,2218
ADANIGREEN,F&O OI,57990,57013,,,,,,,,,58184,58326
ADANIGREEN,CALL VOL,10139,12825,,,,,,,,,978,1640
ADANIGREEN,CALL OI,8544,8204,,,,,,,,,8707,8807
ADANIGREEN,PUT VOL,4134,4164,,,,,,,,,106,368
ADANIGREEN,PUT OI,4070,4068,,,,,,,,,4087,4107
ADANIPORTS,PRICE,1795.0,1787.1,,,,1799.0,1799.4,1796.47,1804.5,1765.5,1795.0,1802.0
ADANIPORTS,VWAP,,,,,,,,,,,1802.8,1804.14
ADANIPORTS,CASH VOL,871935,2317822,206529,40.63,57.11,,,,,,98127,159674
ADANIPORTS,F&O VOL,64317,73322,,,,,,,,,2683,5811
ADANIPORTS,F&O OI,72733,72142,,,,,,,,,72738,72848
ADANIPORTS,CALL VOL,35894,39242,,,,,,,,,1603,3549
ADANIPORTS,CALL OI,15320,15631,,,,,,,,,15375,15390
ADANIPORTS,PUT VOL,18271,21674,,,,,,,,,793,1669
ADANIPORTS,PUT OI,10526,10652,,,,,,,,,10438,10486
ADANIPOWER,PRICE,206.96,206.55,,,,207.99,208.28,207.4,206.55,206.44,206.0,207.0
ADANIPOWER,VWAP,,,,,,,,,,,207.8,207.53
ADANIPOWER,CASH VOL,11848251,11494497,4531199,44.78,35.15,,,,,,791343,1504417
ADANIPOWER,F&O VOL,45198,35571,,,,,,,,,555,2008
ADANIPOWER,F&O OI,84053,86471,,,,,,,,,84098,84368
ADANIPOWER,CALL VOL,22351,20677,,,,,,,,,342,1174
ADANIPOWER,CALL OI,12812,14550,,,,,,,,,13339,12990
ADANIPOWER,PUT VOL,11599,7625,,,,,,,,,77,302
ADANIPOWER,PUT OI,8344,9229,,,,,,,,,7715,8402
ALKEM,PRICE,5331.5,5364.0,,,,5344.0,5364.0,5342.33,5397.25,5258.75,5331.0,5344.0
