Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,Open,dTC,dBC,wTC,wBC,09:20,09:40,10:00,10:10,10:20,10:30,10:50,11:00,11:10,11:20,11:40,12:00
360ONE,PRICE,1108.0,1073.5,,,,1099.5,1106.07,1102.2,1071.3,1067.7,1091.0,1096.0,1092.0,1095.0,1093.0,1093.0,1094.0,1091.0,1091.0,1091.0,1089.0,1087.0
360ONE,VWAP,,,,,,,,,,,1093.81,1094.28,1093.34,1093.75,1093.67,1093.62,1093.6,1093.51,1093.41,1093.36,1093.23,1092.07
360ONE,CASH VOL,3642452,338935,716818,55.77,49.51,,,,,,54034,124383,149991,177493,184855,189833,200515,209328,218360,224237,234745,279888
360ONE,F&O VOL,88130,6037,,,,,,,,,4168,6121,7733,8935,9422,9859,10360,10932,11402,11556,12012,15060
360ONE,F&O OI,22194,16512,,,,,,,,,21710,21545,21666,21657,21694,21825,21704,21779,21881,21917,22003,21947
360ONE,CALL VOL,55086,3077,,,,,,,,,2127,3045,3755,4268,4456,4580,4759,4989,5196,5249,4676,5853
360ONE,CALL OI,4288,2440,,,,,,,,,5973,5887,5935,5918,5887,5893,5904,5910,5943,5958,4309,4277
360ONE,PUT VOL,18729,1445,,,,,,,,,1427,1966,2448,2864,2949,3008,3098,3176,3264,3284,3389,4729
360ONE,PUT OI,4279,3050,,,,,,,,,4370,4257,4225,4151,4154,4155,4144,4146,4156,4164,3764,3621
ABB,PRICE,7120.0,7120.5,,,,7080.0,7131.0,7123.67,7218.58,7114.75,7103.0,7092.0,7086.0,7093.0,7094.0,7108.0,7125.0,7108.0,7109.0,7106.0,7115.0,7106.0
ABB,VWAP,,,,,,,,,,,7091.92,7092.14,7093.47,7093.89,7093.88,7094.26,7101.4,7106.24,7106.21,7106.24,7106.63,7111.86
ABB,CASH VOL,91561,196683,25062,43.2,42.09,,,,,,9718,12751,18117,19839,21112,22213,29711,46179,46851,47756,50464,66969
ABB,F&O VOL,29352,45239,,,,,,,,,1548,2806,3882,4581,5245,6041,7093,8428,8925,9287,9934,11861
ABB,F&O OI,33722,33610,,,,,,,,,33974,34020,34317,34528,34461,34527,34594,34782,34952,35075,35244,35506
ABB,CALL VOL,16851,22706,,,,,,,,,811,1238,1465,1611,1864,2232,2699,3100,3173,3210,3350,3933
ABB,CALL OI,8036,7989,,,,,,,,,8058,7981,8007,8018,7970,7871,7862,7816,7799,7793,7779,7664
ABB,PUT VOL,7391,12425,,,,,,,,,293,582,786,888,1008,1111,1321,1577,1610,1640,1712,1954
ABB,PUT OI,5801,6056,,,,,,,,,5775,5741,5797,5790,5792,5800,5779,5778,5783,5792,5784,5749
ABCAPITAL,PRICE,402.45,397.0,,,,394.6,401.69,400.18,404.71,394.02,398.0,398.0,398.0,399.0,398.0,399.0,399.0,399.0,399.0,398.0,396.0,396.0
ABCAPITAL,VWAP,,,,,,,,,,,396.79,397.74,397.88,398.04,398.06,398.12,398.18,398.27,398.29,398.27,398.21,398.05
ABCAPITAL,CASH VOL,1960710,2377189,383770,57.96,63.82,,,,,,323035,499374,594995,679558,702374,728579,762139,824687,863118,905298,964485,1047574
ABCAPITAL,F&O VOL,7181,11342,,,,,,,,,2445,4369,5755,6989,7253,7624,7920,8416,8780,8938,9884,10902
ABCAPITAL,F&O OI,21849,21643,,,,,,,,,22214,22560,22862,23201,23182,23268,23291,23420,23537,23586,23822,24264
ABCAPITAL,CALL VOL,2739,4871,,,,,,,,,859,1427,1709,1965,2041,2106,2150,2244,2301,2328,2461,2602
ABCAPITAL,CALL OI,3155,3408,,,,,,,,,3306,3296,3289,3394,3398,3392,3393,3374,3372,3371,3244,3277
ABCAPITAL,PUT VOL,1901,4003,,,,,,,,,758,1269,1627,1923,1967,2043,2084,2122,2156,2179,2457,2595
ABCAPITAL,PUT OI,3715,3743,,,,,,,,,3517,3584,3601,3575,3574,3563,3559,3567,3563,3562,3800,3773
ADANIENSOL,PRICE,1380.0,1381.7,,,,1367.0,1381.25,1380.42,1419.57,1386.5,1357.0,1356.0,1354.0,1355.0,1347.0,1358.0,1358.0,1359.0,1357.0,1360.0,1359.0,1354.0
ADANIENSOL,VWAP,,,,,,,,,,,1353.73,1353.29,1352.93,1353.29,1352.95,1353.36,1353.73,1354.09,1354.23,1354.52,1354.87,1354.95
ADANIENSOL,CASH VOL,933961,1791593,189782,52.41,60.48,,,,,,185847,271673,365074,434408,500019,570653,625572,673089,705381,739726,789367,842806
ADANIENSOL,F&O VOL,14701,22624,,,,,,,,,2590,3976,5440,8645,9507,11002,12007,13149,13739,14243,14977,15893
ADANIENSOL,F&O OI,54659,54568,,,,,,,,,54944,55026,55191,57529,57608,57777,57466,57603,57644,57640,57563,57666
ADANIENSOL,CALL VOL,4027,4721,,,,,,,,,1020,1588,2036,2267,2463,3071,3233,3375,3507,3701,3841,3984
ADANIENSOL,CALL OI,4447,4388,,,,,,,,,4490,4548,4540,4547,4577,4693,4695,4708,4686,4680,4583,4554
ADANIENSOL,PUT VOL,1758,2121,,,,,,,,,612,908,1161,1254,1331,1442,1508,1567,1606,1651,1702,1756
ADANIENSOL,PUT OI,3089,3299,,,,,,,,,3114,3119,3121,3108,3114,3088,3084,3079,3072,3056,3046,3039
ADANIENT,PRICE,2993.2,2997.0,,,,2978.0,3001.05,2995.82,3011.78,2995.35,2967.0,2970.0,2963.0,2963.0,2952.0,2960.0,2962.0,2959.0,2952.0,2949.0,2949.0,2943.0
ADANIENT,VWAP,,,,,,,,,,,2964.33,2964.3,2963.84,2963.82,2962.52,2961.58,2961.55,2961.15,2959.12,2958.48,2957.8,2956.38
ADANIENT,CASH VOL,855435,793747,226397,39.63,26.76,,,,,,75153,114549,137690,151047,178697,209448,226553,248125,289318,307186,332733,370963
ADANIENT,F&O VOL,76313,75701,,,,,,,,,7810,12912,16768,18484,20842,23668,25148,26862,29876,31602,33850,36911
ADANIENT,F&O OI,101042,100067,,,,,,,,,101069,101051,101469,101666,101607,101965,101882,102080,102507,102723,102927,103429
ADANIENT,CALL VOL,34239,37047,,,,,,,,,4080,6420,7940,8504,9507,10715,11277,11902,13055,13843,14780,15883
ADANIENT,CALL OI,20674,20391,,,,,,,,,20409,20236,20289,20288,20342,20437,20378,20411,20575,20753,20754,20914
ADANIENT,PUT VOL,17832,18293,,,,,,,,,2256,3678,4794,5124,5939,6674,7064,7509,8514,8928,9395,10003
ADANIENT,PUT OI,11781,11932,,,,,,,,,11875,11820,11798,11817,11628,11632,11643,11631,11664,11604,11607,11507
ADANIGREEN,PRICE,1300.9,1304.0,,,,1295.0,1303.3,1301.7,1320.25,1291.75,1297.0,1295.0,1291.0,1292.0,1289.0,1299.0,1299.0,1298.0,1296.0,1306.0,1307.0,1300.0
ADANIGREEN,VWAP,,,,,,,,,,,1293.32,1293.05,1292.78,1292.73,1292.47,1293.07,1293.36,1293.57,1293.79,1298.76,1299.27,1299.45
ADANIGREEN,CASH VOL,639643,437524,187804,30.97,26.07,,,,,,118668,200462,229929,248407,274430,315568,335030,351243,375747,1045044,1107220,1158682
ADANIGREEN,F&O VOL,35241,26794,,,,,,,,,2441,3933,9627,10189,11362,13471,14475,16640,17339,20107,22369,23842
ADANIGREEN,F&O OI,59078,57990,,,,,,,,,59173,59415,61524,61574,61876,62373,62478,62930,63103,63751,63421,63515
