Symbol,Rank,SCORE,VOL,OPT,OIC,CHG,PCR,LEV,DLV,BUILD
COFORGE,1,0.997,6.347,13.521,1.327,-4.923,1.572,2.13,-3.21,SHORT BUILD
BIOCON,2,0.979,3.344,3.399,1.174,1.453,0.551,1.016,-10.19,LONG BUILD
HDFCLIFE,3,0.978,3.251,6.324,1.152,-3.335,1.019,1.945,-9.12,SHORT BUILD
ADANIPORTS,4,0.975,3.521,7.205,1.09,4.035,0.652,2.046,4.94,LONG BUILD
PAYTM,5,0.973,2.942,6.555,1.11,4.79,0.491,2.228,14.21,LONG BUILD
COALINDIA,6,0.95,2.13,3.355,1.088,2.796,0.666,1.575,-11.08,LONG BUILD
MAXHEALTH,7,0.94,2.022,16.242,1.067,4.33,0.709,8.031,13.92,LONG BUILD
LTM,8,0.921,2.728,1.532,1.095,-0.451,0.65,0.562,-5.16,SHORT BUILD
INFY,9,0.912,1.418,2.134,1.149,-4.529,0.776,1.506,8.38,SHORT BUILD
CAMS,10,0.91,2.332,2.929,1.052,-1.439,1.391,1.256,-8.21,SHORT BUILD
PGEL,11,0.884,1.426,4.058,1.054,-1.391,0.819,2.845,7.91,SHORT BUILD
MUTHOOTFIN,12,0.878,1.791,1.456,1.081,-2.162,0.685,0.813,15.41,SHORT BUILD
ADANIENT,13,0.866,4.827,8.548,1.025,5.11,0.655,1.771,-1.03,LONG BUILD
VBL,14,0.864,2.091,3.2,1.032,-0.419,0.616,1.531,1.56,SHORT BUILD
ONGC,15,0.863,1.287,1.631,1.081,-0.424,0.404,1.268,-8.41,SHORT BUILD
