Symbol,Rank,SCORE,VOL,OPT,OIC,GAP,OPN,CHG,SOI,VWP,DCW,PCR,LEV,DLV,BUILD,SESS,DCPR,WCPR
SUPREMEIND,1,0.997,2.377,16.346,1.206,0.09,3.453,3.546,1.191,0.99,0.071,0.572,6.877,-4.27,LONG BUILD,LONG BUILD,ABOVE,INSIDE
SHREECEM,2,0.991,1.696,13.676,1.292,1.093,1.712,2.823,1.291,-0.198,0.229,0.392,8.066,-6.74,LONG BUILD,LONG BUILD,ABOVE,BELOW
ZYDUSLIFE,3,0.977,0.982,5.028,1.083,1.374,0.547,1.929,1.091,-0.127,0.87,0.41,5.122,-6.19,LONG BUILD,LONG BUILD,ABOVE,ABOVE
KAYNES,4,0.971,0.821,57.189,1.118,0.227,1.332,1.562,1.12,0.769,0.774,0.856,69.652,-15.0,LONG BUILD,LONG BUILD,ABOVE,ABOVE
LODHA,5,0.97,1.728,3.122,1.062,0.644,3.044,3.708,1.061,0.765,0.33,1.016,1.807,17.66,LONG BUILD,LONG BUILD,ABOVE,INSIDE
GODFRYPHLP,6,0.949,1.748,2.054,1.041,0.257,2.259,2.522,1.029,0.227,0.129,0.538,1.175,-2.13,LONG BUILD,LONG BUILD,ABOVE,ABOVE
TCS,7,0.944,0.687,1.801,1.153,-0.584,-2.076,-2.648,1.113,-0.027,0.721,0.646,2.62,-6.02,SHORT BUILD,SHORT BUILD,BELOW,BELOW
BHARATFORG,8,0.942,0.816,3.204,1.053,1.115,2.108,3.247,1.04,0.63,0.309,0.808,3.928,-7.78,LONG BUILD,LONG BUILD,ABOVE,ABOVE
FEDERALBNK,9,0.936,1.08,0.915,1.076,0.015,-2.043,-2.029,1.033,-1.05,1.095,0.904,0.847,-10.05,SHORT BUILD,SHORT BUILD,BELOW,BELOW
HINDZINC,10,0.922,0.841,2.074,1.036,1.048,1.504,2.569,1.037,-0.031,0.407,0.648,2.467,10.71,LONG BUILD,LONG BUILD,ABOVE,INSIDE
DRREDDY,11,0.915,0.582,2.593,1.082,0.647,0.795,1.447,1.064,-0.512,0.565,0.484,4.453,-11.55,LONG BUILD,LONG BUILD,ABOVE,ABOVE
PIDILITIND,12,0.886,0.512,4.271,1.075,0.541,2.058,2.61,1.067,0.182,0.144,0.648,8.349,7.16,LONG BUILD,LONG BUILD,ABOVE,ABOVE
INDHOTEL,13,0.862,0.632,1.665,1.027,-0.11,1.536,1.424,1.028,0.011,0.497,0.552,2.634,-2.61,LONG BUILD,LONG BUILD,ABOVE,ABOVE
TITAN,14,0.857,0.581,0.867,1.055,0.207,-1.01,-0.806,1.042,-0.353,0.5,1.015,1.491,-4.71,SHORT BUILD,SHORT BUILD,BELOW,BELOW
KPITTECH,15,0.857,1.08,0.775,1.024,0.0,-1.305,-1.305,1.014,-0.004,0.31,0.713,0.717,-4.07,SHORT BUILD,SHORT BUILD,BELOW,BELOW
